id,logV_SAEM,logVm_SAEM,logKm_SAEM,logV_mean,logVm_mean,logKm_mean,logV_mode,logVm_mode,logKm_mode,logV_sd,logVm_sd,logKm_sd
39,4.30202,6.59527,5.78536,4.31583,6.53571,5.70436,4.31182,6.58105,5.7511,0.0566746,0.175959,0.342809
40,4.11953,6.90897,5.19348,4.09252,6.94547,5.25383,4.09567,6.93735,5.24201,0.0557561,0.174769,0.241283
41,3.61449,6.89734,5.21974,3.60935,6.89292,5.21939,3.59076,6.99609,5.36213,0.066253,0.116518,0.162328
42,4.10658,7.12501,5.54169,4.1103,7.21633,5.6559,4.11342,7.119,5.52498,0.0498365,0.155197,0.223555
43,3.96512,7.19395,5.29489,3.9448,7.22466,5.36898,3.95649,7.17906,5.2729,0.050986,0.0807123,0.16884
44,4.42378,7.09624,5.52606,4.40611,7.10353,5.52807,4.40941,7.09987,5.44977,0.052051,0.1183,0.313958
45,3.99015,6.84599,5.67589,3.98717,6.81158,5.64393,3.98128,6.84269,5.67648,0.0455392,0.121837,0.14409
46,4.01202,6.93775,5.48577,4.00135,6.96776,5.53499,4.00333,6.98243,5.53189,0.0520756,0.119972,0.329131
47,4.12373,6.99785,5.52195,4.12855,6.98599,5.47192,4.12078,6.98441,5.47648,0.0506782,0.136499,0.298711
48,4.37452,6.85599,5.5996,4.3712,6.88746,5.64657,4.37611,6.87784,5.61832,0.0467424,0.17365,0.23988
49,3.74502,6.82113,5.56255,3.74341,6.84011,5.54406,3.74097,6.85444,5.55915,0.0483462,0.0964191,0.315772
50,4.44132,7.15581,5.48671,4.43033,7.14054,5.47918,4.4423,7.06623,5.38195,0.0535581,0.177735,0.217418
51,3.89828,6.98935,5.48742,3.91916,6.84731,5.14556,3.91068,6.911,5.30112,0.0445923,0.0879829,0.235518
52,4.81353,6.5152,5.65027,4.82152,6.52289,5.6941,4.81404,6.56474,5.68636,0.04595,0.17991,0.327306
53,4.78914,7.05364,5.63691,4.79498,6.96023,5.51641,4.79285,6.93531,5.45876,0.0565593,0.183342,0.247889
54,4.34361,6.81333,5.5459,4.33464,6.86759,5.65629,4.33423,6.81479,5.52144,0.0541563,0.144505,0.287802
55,4.13749,6.80633,5.39201,4.1321,6.76521,5.33747,4.13256,6.74212,5.30624,0.0565565,0.203048,0.266299
56,3.95083,7.08822,5.91043,3.93725,7.09576,5.94448,3.94777,7.01845,5.83199,0.0468844,0.205176,0.280608
57,4.06453,6.65755,5.59827,4.06353,6.64707,5.60823,4.06548,6.68023,5.61102,0.0541901,0.119502,0.293892
58,4.02592,6.8006,5.67682,4.02561,6.74801,5.60966,4.02412,6.87492,5.76018,0.0524826,0.250134,0.314997
59,4.11471,6.74923,5.66501,4.114,6.82084,5.74802,4.10773,6.75288,5.66259,0.0487969,0.21953,0.273793
60,4.62123,7.04139,5.5863,4.64144,7.00306,5.53387,4.63576,7.03205,5.56095,0.0532517,0.147829,0.202259
61,4.43923,6.73625,5.47676,4.45103,6.86179,5.65112,4.44859,6.84496,5.61453,0.0506816,0.210384,0.297469
62,3.9805,7.20908,5.43032,3.98568,7.22125,5.47765,3.98311,7.21433,5.4355,0.0479138,0.0970958,0.343468
63,4.21651,6.88864,5.52978,4.20772,6.94536,5.64217,4.22108,6.88823,5.52001,0.0489557,0.138347,0.270802
64,4.03468,6.99028,5.47951,4.03523,6.9788,5.4382,4.02924,7.00284,5.48895,0.0523563,0.132662,0.286147
65,4.40687,6.87026,5.59071,4.41087,6.83913,5.55073,4.40304,6.86473,5.58206,0.0481846,0.108484,0.132666
66,3.92129,6.71126,5.59593,3.92107,6.65622,5.47454,3.92194,6.69755,5.54582,0.045785,0.120476,0.310178
67,4.1714,6.777,5.45911,4.16245,6.92574,5.67671,4.16758,6.86964,5.59114,0.0501429,0.199278,0.283567
68,3.97662,6.88133,5.53254,3.97886,6.94645,5.60671,3.98743,6.92045,5.56825,0.0487001,0.194059,0.243153
69,4.23134,6.61308,5.61984,4.22657,6.62409,5.61203,4.22661,6.66585,5.58732,0.0449032,0.157534,0.333214
70,4.11131,6.85828,5.56563,4.12484,6.86077,5.57592,4.11428,6.8851,5.58474,0.0502388,0.106148,0.316487
71,4.29457,6.96964,5.38483,4.27855,7.01107,5.50016,4.27681,7.01704,5.49242,0.0534611,0.110384,0.210075
72,4.05328,6.70313,5.57346,4.04758,6.83295,5.76654,4.05503,6.70459,5.56868,0.0547051,0.172842,0.272635
73,4.01426,6.39352,5.69957,4.01556,6.42346,5.74839,4.01381,6.43748,5.75259,0.0536996,0.146997,0.331706
74,4.35607,6.76281,5.17614,4.33891,6.92736,5.40352,4.35084,6.80886,5.23858,0.0667394,0.173296,0.226963
75,3.61059,6.8129,5.17809,3.627,6.7966,5.14012,3.60647,6.86961,5.24978,0.050716,0.0961672,0.129248
76,4.28405,6.87707,5.66868,4.2864,6.78497,5.53371,4.28795,6.8615,5.63654,0.0522009,0.162089,0.23604
77,4.41535,6.72438,5.42173,4.42981,6.78074,5.50427,4.41808,6.75317,5.45182,0.0571879,0.136165,0.210317
78,4.43246,6.82838,5.67544,4.43773,6.75573,5.54836,4.42576,6.78672,5.5622,0.0499136,0.151496,0.297357
79,4.1033,7.543,5.41421,4.10909,7.45528,5.14479,4.11598,7.45027,5.12633,0.0514511,0.0938097,0.304447
80,3.32558,6.21593,5.60374,3.32175,6.24964,5.59566,3.31828,6.29872,5.6147,0.048903,0.151971,0.379412
81,4.33771,6.94968,5.43105,4.3371,6.96876,5.45331,4.33045,6.95118,5.43421,0.0512297,0.193769,0.228682
82,3.99492,6.82589,5.75899,4.00925,6.71193,5.60161,4.00635,6.81264,5.72384,0.0494548,0.199257,0.248427
83,4.17019,6.68393,5.86882,4.17769,6.67796,5.8823,4.16826,6.63504,5.79147,0.0536286,0.18724,0.266599
84,4.45088,7.64909,5.56332,4.44891,7.59639,5.45389,4.44472,7.62345,5.51656,0.0455134,0.0769849,0.184288
85,4.37799,6.90315,5.44079,4.38853,6.88739,5.41227,4.38371,6.90514,5.4377,0.0559687,0.144807,0.300957
86,4.42217,6.82051,5.49745,4.42027,6.83498,5.58529,4.41832,6.8774,5.55554,0.0507527,0.129022,0.311284
87,4.3564,6.35673,5.89169,4.35708,6.38397,5.91601,4.35101,6.37231,5.83609,0.0499684,0.19248,0.319543
88,4.00454,6.66173,5.60731,4.00085,6.68207,5.6356,3.9977,6.64139,5.56175,0.0471292,0.146129,0.241897
89,4.05604,6.84378,5.40092,4.05746,6.85358,5.42074,4.0572,6.81494,5.36059,0.0480729,0.159086,0.255225
90,4.29425,7.04617,5.70849,4.28435,6.8759,5.51341,4.28557,6.92773,5.56679,0.0565426,0.160587,0.192878
91,3.76247,6.34419,5.7267,3.7653,6.42963,5.92891,3.76113,6.39104,5.78202,0.0522464,0.148439,0.333628
92,4.8066,6.97974,5.55923,4.80161,7.06405,5.67837,4.7992,6.94688,5.5079,0.0533298,0.185876,0.242511
93,4.42213,7.21577,5.34048,4.42885,7.21702,5.37065,4.42625,7.21054,5.2742,0.0500971,0.0991629,0.276066
94,4.09831,7.1298,5.56073,4.1026,7.09696,5.48478,4.10274,7.11399,5.49327,0.0459086,0.093528,0.302086
95,4.69124,6.83268,5.50016,4.6892,6.8739,5.54116,4.69111,6.88281,5.54545,0.0494616,0.231308,0.269624
96,4.73692,6.8302,5.44652,4.73312,6.91807,5.57536,4.73311,6.88667,5.506,0.0552478,0.17875,0.321741
97,3.92923,6.38656,5.74382,3.91637,6.43798,5.82138,3.91712,6.42173,5.7732,0.050717,0.182866,0.3049
98,4.63383,7.00942,5.67689,4.63387,6.99541,5.65226,4.63256,6.98208,5.59805,0.0494616,0.14514,0.243331
99,4.04099,6.6572,5.53133,4.04206,6.64107,5.56014,4.03515,6.7019,5.54771,0.0575374,0.174382,0.343794
100,4.17516,7.28521,5.34475,4.17859,7.27115,5.32122,4.20934,7.14132,5.11917,0.0581525,0.179304,0.264264
101,3.85844,7.04251,5.4384,3.84791,7.06981,5.50765,3.85454,7.05943,5.43867,0.0511605,0.0895506,0.32148
102,4.34562,6.56543,5.80204,4.34641,6.61615,5.86365,4.34054,6.57143,5.78147,0.0568645,0.216675,0.262441
103,3.61213,7.1378,5.59446,3.64278,7.04996,5.45593,3.61771,7.1102,5.54939,0.0412713,0.168904,0.216401
104,3.61378,7.24067,5.19033,3.6349,7.24508,5.17707,3.62698,7.23277,5.15842,0.0397034,0.0398932,0.0882276
105,4.0323,6.72741,5.52903,4.02366,6.75923,5.62639,4.02551,6.74887,5.5657,0.0467028,0.125677,0.282894
106,3.97051,7.00741,5.71629,3.98734,6.94082,5.6283,3.99239,6.88214,5.55081,0.0500988,0.186185,0.227082
107,4.72659,6.53561,5.8967,4.7309,6.4565,5.826,4.73021,6.50664,5.82089,0.0524688,0.203171,0.337851
108,3.77101,7.15008,5.53695,3.77126,7.21759,5.61845,3.77603,7.17962,5.56555,0.0494653,0.0896523,0.115944
109,4.26058,7.16612,5.46009,4.26533,7.16994,5.46484,4.26723,7.17362,5.4322,0.0526194,0.107878,0.310349
110,3.9932,6.53752,6.03967,4.0003,6.518,6.01708,3.99228,6.48837,5.94862,0.0506835,0.175582,0.257232
111,4.27285,6.92147,5.59001,4.277,6.76299,5.35456,4.27811,6.81569,5.43021,0.0482879,0.166787,0.259274
112,4.01076,6.52167,5.6138,4.01114,6.49545,5.57943,4.00847,6.53566,5.61495,0.0472236,0.156752,0.358975
113,4.30571,7.25532,5.60108,4.30875,7.24701,5.58839,4.31641,7.18215,5.46852,0.0560983,0.124144,0.230297
114,3.86945,6.9092,5.50719,3.86633,6.85041,5.43898,3.86584,6.86658,5.45598,0.0604825,0.16478,0.210481
115,4.02573,7.15167,5.76782,4.03471,7.06628,5.64608,4.03317,7.09659,5.68541,0.0430863,0.182508,0.255675
116,4.497,6.99636,5.45664,4.49642,7.02433,5.57028,4.49209,7.03266,5.49323,0.0479625,0.137566,0.31248
117,3.98564,6.59959,5.52625,3.97736,6.78469,5.76626,3.98433,6.70685,5.65748,0.0534475,0.143056,0.180251
118,4.61724,6.85313,5.60299,4.62202,6.83991,5.58789,4.62357,6.83864,5.57226,0.0513282,0.171621,0.237483
119,3.85949,6.73073,5.63373,3.86762,6.70277,5.61797,3.86344,6.73425,5.58376,0.0501626,0.119799,0.328823
120,3.98037,6.77005,4.6653,3.96402,6.84173,4.90864,3.96957,6.79951,4.76211,0.0554888,0.0666979,0.212854
